epoch,train_loss,val_loss,val_f1,val_precision,val_recall,val_roc_auc,elapsed_s
1,1.005561,0.896198,0.459473,0.334113,0.735396,0.803716,2022.5
2,0.907218,0.855686,0.51502,0.40973,0.693139,0.817809,4042.5
3,0.878741,0.859128,0.63005,0.838781,0.504504,0.838872,6063.9
4,0.840048,0.743673,0.626366,0.568184,0.697823,0.864906,8086.9
5,0.809488,0.729842,0.665805,0.655575,0.67636,0.871102,10110.0
6,0.779984,0.727025,0.719286,0.800328,0.653147,0.880848,12130.4
7,0.750008,0.692638,0.611538,0.501383,0.783725,0.884738,14150.0
8,0.730243,0.664,0.707029,0.692228,0.722477,0.888943,16172.2
9,0.711461,0.840399,0.49523,0.345975,0.870966,0.885684,18193.6
10,0.70643,0.657418,0.732291,0.760548,0.706058,0.892249,20214.0
11,0.692577,0.647013,0.724975,0.732517,0.717587,0.89601,22234.1
12,0.687594,0.659843,0.742579,0.807142,0.68758,0.89532,24253.2
13,0.68011,0.646588,0.710423,0.691046,0.730918,0.895997,26270.7
14,0.674781,0.641008,0.74166,0.783196,0.704308,0.896919,28292.7
15,0.676428,0.681409,0.750752,0.879014,0.655155,0.895134,30314.0
16,0.671676,0.63728,0.734868,0.757068,0.713933,0.900653,32332.6
17,0.667265,0.645904,0.649409,0.553728,0.785064,0.896765,34354.8
18,0.664243,0.663738,0.756852,0.875313,0.666632,0.898966,36378.5
19,0.663482,0.628077,0.735458,0.739844,0.731124,0.901612,38390.2
20,0.662008,0.647753,0.760899,0.859997,0.682279,0.90265,40398.8
21,0.657534,0.636008,0.743574,0.783779,0.707293,0.900863,42409.8
22,0.655436,0.619757,0.723595,0.707782,0.740131,0.903283,44416.1
23,0.653946,0.62227,0.696104,0.643672,0.757836,0.902147,46415.9
24,0.651919,0.627688,0.750685,0.793396,0.712337,0.902728,48421.5
25,0.649153,0.63379,0.758409,0.829352,0.698646,0.903109,50424.6
26,0.647063,0.659917,0.611699,0.48298,0.83396,0.904434,52427.3
27,0.646251,0.610083,0.720667,0.695434,0.7478,0.905823,54429.9
28,0.641609,0.614929,0.722831,0.709157,0.737043,0.902824,56428.3
29,0.62705,0.600918,0.725201,0.701709,0.750322,0.909177,58428.2
30,0.623729,0.618832,0.764722,0.833445,0.70647,0.908546,60430.6
31,0.624557,0.597158,0.73701,0.725027,0.749395,0.908738,62431.1
32,0.623428,0.594772,0.729757,0.705199,0.756086,0.910767,64441.6
33,0.624134,0.598654,0.750092,0.768309,0.732719,0.910406,66472.7
34,0.622682,0.615456,0.666652,0.570967,0.800865,0.908364,68493.0
35,0.622194,0.597545,0.755658,0.777875,0.734675,0.911587,70585.6
36,0.622295,0.611699,0.760666,0.810956,0.716249,0.909693,71829.5
37,0.621528,0.590954,0.731101,0.704675,0.759586,0.912019,72935.1
38,0.619429,0.591296,0.734805,0.714459,0.756344,0.912553,74157.9
39,0.611276,0.585646,0.72619,0.692995,0.762726,0.91366,75260.2
40,0.609474,0.586403,0.74261,0.73545,0.74991,0.913314,76364.0
41,0.608731,0.588587,0.757911,0.777135,0.739616,0.913542,77467.1
42,0.607107,0.581542,0.740648,0.72394,0.758145,0.914456,78569.4
43,0.607519,0.594672,0.769117,0.821928,0.722683,0.914917,79671.7
