epoch,train_loss,val_loss,val_f1,val_precision,val_recall,val_roc_auc,elapsed_s
1,0.753486,0.616932,0.781586,0.953627,0.662132,0.919278,2322.8
2,0.554023,0.576068,0.653321,0.529291,0.853271,0.929659,5332.6
3,0.488165,0.458121,0.836993,0.874267,0.802768,0.949261,8344.4
4,0.461183,0.472673,0.852687,0.963658,0.764635,0.951969,11355.8
5,0.44555,0.409996,0.853027,0.875962,0.831263,0.956436,14365.0
6,0.434064,0.411613,0.844637,0.849586,0.839746,0.954581,17374.6
7,0.426185,0.399195,0.854309,0.86995,0.839221,0.957347,20385.5
8,0.420287,0.401242,0.806786,0.754607,0.866717,0.958328,23397.6
9,0.414189,0.397699,0.87032,0.91011,0.833863,0.95869,26407.7
10,0.409748,0.385759,0.863728,0.882363,0.845865,0.960402,29422.5
11,0.405024,0.428517,0.877858,0.976242,0.797489,0.95901,32432.1
12,0.401835,0.395034,0.86303,0.8887,0.8388,0.95931,35445.3
13,0.397173,0.393173,0.87976,0.941402,0.825695,0.962132,38457.6
14,0.391838,0.372624,0.859246,0.863128,0.855398,0.962388,41472.0
15,0.38904,0.375619,0.881811,0.931836,0.836883,0.964028,44479.6
16,0.381428,0.356141,0.869065,0.877891,0.860414,0.965819,47489.1
17,0.373033,0.362287,0.816404,0.756624,0.886441,0.966379,50498.8
18,0.366863,0.343742,0.886126,0.913807,0.860073,0.968893,53506.7
19,0.361666,0.352194,0.887885,0.933021,0.846915,0.968395,56517.6
20,0.357026,0.355959,0.893511,0.951461,0.842214,0.969404,59527.4
21,0.352096,0.334258,0.878198,0.883438,0.87302,0.96964,62538.5
22,0.348141,0.335609,0.874675,0.873758,0.875594,0.969077,65551.8
23,0.344377,0.340773,0.902156,0.955993,0.854059,0.971247,68563.8
24,0.340224,0.338154,0.895984,0.931939,0.862699,0.969444,71577.5
25,0.338198,0.328955,0.904409,0.953985,0.859732,0.971878,74590.3
26,0.335268,0.314785,0.858502,0.822358,0.89797,0.972997,77601.7
27,0.331954,0.313453,0.885295,0.885726,0.884865,0.972945,80614.3
28,0.329203,0.320328,0.881035,0.87926,0.882816,0.971902,83627.3
29,0.32697,0.318588,0.908026,0.953088,0.867033,0.974145,86639.8
30,0.324825,0.309079,0.868379,0.841438,0.897103,0.973398,89653.8
31,0.322836,0.345784,0.905296,0.977671,0.842897,0.972057,92664.8
