epoch,train_loss,val_loss,val_f1,val_precision,val_recall,val_roc_auc,elapsed_s
86,0.180919,0.170421,0.924753,0.948929,0.901778,0.984355,265514.9
87,0.180747,0.180951,0.930812,0.980889,0.8856,0.984212,270036.9
88,0.180555,0.166863,0.927353,0.952515,0.903485,0.985177,274561.0
89,0.180013,0.168447,0.932188,0.974559,0.893348,0.985817,279079.6
90,0.179251,0.173651,0.931423,0.98038,0.887123,0.985575,283603.6
91,0.179101,0.173274,0.932517,0.979476,0.889855,0.984979,288124.3
92,0.178736,0.189333,0.929236,0.98941,0.875962,0.984362,292649.1
93,0.178857,0.168279,0.933189,0.976907,0.893216,0.985626,297167.9
94,0.178517,0.176271,0.932129,0.98463,0.884944,0.98486,301685.8
95,0.177803,0.168038,0.927619,0.954897,0.901857,0.985026,306207.5
96,0.178334,0.166826,0.931657,0.969101,0.896998,0.985321,310728.3
97,0.177755,0.181141,0.931531,0.990997,0.878798,0.985758,315245.9
98,0.177712,0.17684,0.931683,0.986669,0.882501,0.985429,319767.4
99,0.17691,0.166812,0.932098,0.968434,0.89839,0.985264,324284.1
100,0.176809,0.176936,0.932172,0.983753,0.885732,0.984489,328799.8
101,0.17668,0.175649,0.932469,0.98464,0.885548,0.985377,333316.4
102,0.168378,0.179461,0.932938,0.987647,0.883972,0.985978,337834.9
